ticker,current_price
6029.T,180.0
6072.T,181.0
8705.T,182.0
6093.T,187.0
7919.T,194.0
7640.T,247.0
5928.T,265.0
2686.T,286.0
2894.T,324.0
6347.T,329.0
3159.T,341.0
7244.T,491.0
6635.T,501.0
3987.T,507.0
5476.T,524.0
5252.T,535.0
3974.T,542.0
5973.T,547.0
3963.T,611.0
6778.T,614.0
7345.T,634.0
6545.T,638.0
7127.T,674.0
9332.T,697.0
9644.T,704.0
6558.T,728.0
3246.T,737.0
7971.T,742.0
9274.T,763.0
5707.T,766.0
3080.T,767.0
6071.T,769.0
7699.T,785.0
3224.T,797.0
6197.T,800.0
2323.T,817.0
7807.T,825.0
9405.T,833.0
6091.T,844.0
5900.T,846.0
8103.T,875.0
4166.T,883.0
8715.T,919.0
3924.T,922.0
4231.T,929.0
5951.T,955.0
7871.T,958.0
9193.T,1002.0
7670.T,1041.0
5368.T,1057.0
1827.T,1070.0
6339.T,1080.0
7951.T,1087.5
3205.T,1150.0
6445.T,1163.0
7940.T,1186.0
7134.T,1186.0
1433.T,1229.0
8750.T,1274.5
4256.T,1281.0
2763.T,1288.0
4577.T,1324.0
8147.T,1339.0
4380.T,1379.0
6458.T,1425.0
2801.T,1435.0
7985.T,1470.0
5816.T,1478.0
9823.T,1505.0
4220.T,1505.0
2332.T,1561.0
3050.T,1584.0
7673.T,1618.0
2480.T,1652.0
9651.T,1751.0
3836.T,1784.0
7384.T,1793.0
2154.T,1830.0
9900.T,1873.0
2395.T,1885.0
1945.T,1894.0
5533.T,1920.0
8439.T,2009.0
6505.T,2010.0
5406.T,2055.0
3382.T,2170.0
6752.T,2175.0
4462.T,2197.0
6484.T,2300.0
7521.T,2311.0
4094.T,2353.0
9733.T,2437.0
5440.T,2443.0
9600.T,2514.0
4972.T,2685.0
2089.T,2748.0
7981.T,2834.0
3391.T,2842.5
4783.T,2875.0
8276.T,2986.0
1477.T,3019.0
5857.T,3155.0
1952.T,3225.0
2235.T,3330.0
4901.T,3465.0
6391.T,3480.0
6360.T,3695.0
2805.T,3700.0
9081.T,3755.0
4464.T,4010.0
6196.T,4090.0
6643.T,4140.0
4043.T,4196.0
6702.T,4216.0
7685.T,4225.0
7921.T,4570.0
7678.T,4720.0
4216.T,4775.0
7751.T,4780.0
6365.T,5080.0
3817.T,5230.0
1560.T,5979.0
9647.T,6740.0
5261.T,6760.0
1541.T,7930.0
4828.T,7970.0
9867.T,9370.0
6231.T,12910.0
2070.T,14395.0
1328.T,15900.0
6201.T,17550.0
2071.T,18380.0
1620.T,31260.0
9983.T,57120.0
2972.T,103500.0
3459.T,117200.0
3487.T,168200.0
7808.T,
