ticker,price
8918.T,9.0
6740.T,21.0
9973.T,33.0
5103.T,47.0
1783.T,58.0
5955.T,79.0
1773.T,82.0
7771.T,85.0
3266.T,87.0
6993.T,87.0
9980.T,90.0
2926.T,96.0
3315.T,99.0
6803.T,100.0
2762.T,103.0
6574.T,103.0
7693.T,105.0
2315.T,106.0
7571.T,108.0
3202.T,110.0
4586.T,114.0
7992.T,114.0
6495.T,118.0
7256.T,119.0
2656.T,120.0
3536.T,125.0
5721.T,127.0
3940.T,134.0
6494.T,138.0
7624.T,139.0
6046.T,140.0
6343.T,144.0
4571.T,148.0
6695.T,150.0
6093.T,151.0
9432.T,153.89999389648438
7615.T,154.0
2666.T,156.0
8789.T,156.0
3011.T,157.0
4426.T,163.0
3521.T,165.0
5255.T,168.0
3598.T,170.0
6029.T,171.0
7640.T,171.0
3727.T,172.0
4814.T,172.0
3776.T,173.0
1432.T,174.0
6072.T,174.0
2341.T,175.0
8705.T,180.0
2721.T,185.0
5952.T,185.0
3779.T,188.0
2852.T,191.60000610351562
3185.T,192.0
7919.T,192.0
1435.T,193.0
5986.T,193.0
7524.T,193.0
7795.T,195.0
9854.T,201.0
6195.T,208.0
2255.T,209.60000610351562
2321.T,210.0
2673.T,214.0
4584.T,217.0
2256.T,220.8000030517578
4406.T,222.0
2257.T,223.10000610351562
9610.T,224.0
2258.T,225.0
7135.T,225.0
5581.T,226.0
9439.T,226.0
7822.T,228.0
2012.T,229.5
1443.T,232.0
3845.T,234.0
4875.T,235.0
6835.T,235.0
2459.T,240.0
9876.T,241.0
7494.T,242.0
8944.T,242.0
2693.T,244.0
8077.T,250.0
7851.T,252.0
9969.T,252.0
2385.T,254.0
2013.T,254.60000610351562
8562.T,256.0
9419.T,257.0
6081.T,258.0
3639.T,263.0
5031.T,265.0
1325.T,266.0
5928.T,267.0
6662.T,267.0
2353.T,269.0
3929.T,269.0
2164.T,270.0
4720.T,271.0
3656.T,274.0
2014.T,274.8999938964844
2181.T,275.79998779296875
7022.T,280.0
3103.T,281.0
8013.T,282.0
8207.T,282.0
2342.T,283.0
9972.T,283.0
2686.T,285.0
3192.T,285.0
4366.T,285.0
3236.T,287.0
7445.T,288.0
3719.T,291.0
4574.T,291.0
6400.T,291.0
8410.T,291.0
4531.T,292.0
4678.T,293.0
8105.T,294.0
4766.T,295.0
7803.T,296.0
3758.T,297.0
7719.T,297.0
4240.T,298.0
5866.T,300.0
7170.T,300.0
7354.T,300.0
6347.T,301.0
2250.T,307.0
4960.T,310.0
6276.T,311.0
1873.T,313.0
4392.T,313.0
1656.T,313.79998779296875
4484.T,314.0
1853.T,319.0
6147.T,319.0
8230.T,320.0
2894.T,321.0
3671.T,321.0
9816.T,322.0
4424.T,325.0
6538.T,326.0
7777.T,327.0
4265.T,328.0
2851.T,332.70001220703125
9160.T,333.0
3370.T,334.0
5133.T,334.0
5563.T,334.0
7746.T,334.0
4918.T,335.0
7041.T,335.0
3042.T,338.0
2464.T,340.0
3159.T,340.0
2055.T,343.0
1475.T,346.8999938964844
4319.T,347.0
5658.T,347.0
7247.T,348.0
6613.T,351.0
7277.T,351.0
7538.T,351.0
9268.T,351.0
5536.T,352.0
7367.T,352.0
6578.T,353.0
4707.T,355.0
6334.T,355.0
1678.T,355.8999938964844
2962.T,357.0
4093.T,357.0
2620.T,360.70001220703125
2499.T,362.0
9535.T,366.0
6059.T,367.0
5618.T,368.0
6085.T,369.0
2563.T,373.8999938964844
2492.T,374.0
4767.T,374.0
6633.T,374.0
6472.T,374.8999938964844
8887.T,376.0
6840.T,377.0
9380.T,377.0
9904.T,377.0
5282.T,379.0
2454.T,385.0
6664.T,387.0
3858.T,388.0
4228.T,388.0
2654.T,389.0
3997.T,389.0
6666.T,393.0
7161.T,393.0
8742.T,394.0
5028.T,396.0
6325.T,397.0
2337.T,398.0
6625.T,398.0
1786.T,401.0
3665.T,403.0
7291.T,403.0
8338.T,403.0
2334.T,407.0
5137.T,408.0
9478.T,409.0
4293.T,411.0
5386.T,411.0
6555.T,411.0
2452.T,412.0
9326.T,412.0
3979.T,414.0
2445.T,415.0
7442.T,415.0
6233.T,417.0
9417.T,418.0
5884.T,422.0
6171.T,422.0
5886.T,430.0
7585.T,431.0
4334.T,435.0
8226.T,435.0
3541.T,438.0
7625.T,438.0
8260.T,440.0
7922.T,442.0
2373.T,443.0
3077.T,443.0
4745.T,443.0
8927.T,443.0
3422.T,445.0
3826.T,446.0
3987.T,446.0
5130.T,447.0
6185.T,449.0
3041.T,450.0
2999.T,451.0
4645.T,451.0
2567.T,452.0
9929.T,452.0
8135.T,453.0
6440.T,454.0
7372.T,457.0
9363.T,457.0
2876.T,458.0
3415.T,460.0
4005.T,460.6000061035156
9475.T,461.0
2411.T,463.0
5258.T,463.0
7567.T,466.0
9831.T,466.70001220703125
1579.T,467.0
4284.T,467.0
7244.T,467.0
5202.T,469.0
8572.T,470.8999938964844
2982.T,473.0
3902.T,474.0
4287.T,474.0
4990.T,475.0
3802.T,477.0
5017.T,477.0
8617.T,477.0
6165.T,479.0
5252.T,481.0
2162.T,483.0
3204.T,483.0
6335.T,484.0
6168.T,486.0
4840.T,487.0
2789.T,488.0
2633.T,490.3999938964844
7461.T,492.0
7192.T,494.0
3359.T,496.0
8127.T,496.0
6635.T,497.0
8291.T,497.0
6867.T,498.0
5476.T,499.0
5594.T,500.0
6958.T,500.0
7150.T,500.0
9239.T,500.0
2317.T,503.0
3768.T,505.0
4350.T,505.0
6040.T,505.0
4397.T,507.0
8515.T,508.0
3796.T,510.0
5893.T,510.0
7896.T,510.0
3744.T,511.0
1994.T,512.0
3628.T,512.0
6155.T,514.0
2112.T,515.0
2533.T,515.0
4241.T,515.0
8346.T,517.0
5942.T,519.0
7593.T,519.0
1887.T,520.0
2300.T,520.0
3559.T,520.0
3992.T,520.0
9240.T,520.0
1615.T,520.7000122070312
6074.T,521.0
3974.T,522.0
6218.T,523.0
2461.T,528.0
1688.T,529.2999877929688
2796.T,530.0
1848.T,531.0
3904.T,531.0
3232.T,532.0
5973.T,533.0
