ticker,current_price
5721.T,123.0
7615.T,151.0
5131.T,163.0
2341.T,178.0
3845.T,228.0
6835.T,233.0
7445.T,289.0
6572.T,298.0
4240.T,312.0
5658.T,343.0
4767.T,372.0
9326.T,420.0
4287.T,442.0
3541.T,444.0
3077.T,453.0
8291.T,501.0
7593.T,514.0
3768.T,519.0
2112.T,527.0
3939.T,540.0
8127.T,550.0
8737.T,553.0
5817.T,564.0
6184.T,565.0
3904.T,571.0
2649.T,606.0
1418.T,613.0
5125.T,634.0
9959.T,694.0
5852.T,729.0
4389.T,788.0
8860.T,790.0
3392.T,799.0
7370.T,800.0
8628.T,803.0
8908.T,824.0
7923.T,830.0
7722.T,837.0
2158.T,838.0
9366.T,850.0
2970.T,875.0
6069.T,895.0
9244.T,895.0
8940.T,898.0
6488.T,935.0
9307.T,941.0
7036.T,989.0
3773.T,1005.0
5139.T,1012.0
3109.T,1023.0
2060.T,1029.0
4433.T,1031.0
7740.T,1034.0
5268.T,1090.0
6058.T,1113.0
4968.T,1117.0
4998.T,1125.0
9233.T,1180.0
3475.T,1192.0
9856.T,1199.0
6942.T,1201.0
7537.T,1205.0
4251.T,1211.0
8045.T,1211.0
7366.T,1236.0
4299.T,1239.0
3529.T,1239.0
6286.T,1243.0
6062.T,1258.0
5391.T,1261.0
3284.T,1282.0
4247.T,1289.0
6033.T,1290.0
7501.T,1307.0
8596.T,1321.0
6239.T,1348.0
4262.T,1361.0
1716.T,1368.0
7187.T,1416.0
7417.T,1420.0
1780.T,1468.0
3317.T,1479.0
4171.T,1480.0
2462.T,1508.0
4539.T,1529.0
7235.T,1537.0
3837.T,1568.0
3691.T,1581.0
3763.T,1581.0
5858.T,1634.0
4430.T,1713.0
4792.T,1716.0
8399.T,1746.0
9361.T,1775.0
7986.T,1790.0
5599.T,1800.0
2169.T,1803.0
8089.T,1812.0
7963.T,1840.0
7505.T,1856.0
1967.T,1920.0
6469.T,1949.0
3771.T,1995.0
7927.T,2000.0
9381.T,2073.0
9012.T,2080.0
4832.T,2153.0
8131.T,2165.0
6316.T,2165.0
2015.T,2165.0
5284.T,2312.0
5189.T,2317.0
3150.T,2362.0
8362.T,2366.0
2303.T,2385.0
7050.T,2392.0
7130.T,2396.0
2209.T,2475.0
7723.T,2577.0
5280.T,2613.0
2429.T,2633.0
3945.T,2680.0
2469.T,2690.0
7749.T,2791.0
1764.T,2800.0
5576.T,2866.0
7520.T,2909.0
5204.T,2932.0
3490.T,2942.0
6333.T,2999.0
6403.T,3000.0
7734.T,3020.0
2918.T,3275.0
6915.T,3285.0
2669.T,3355.0
8011.T,3505.0
6408.T,3580.0
1419.T,3600.0
6822.T,3700.0
4811.T,3770.0
4694.T,3810.0
8225.T,3825.0
7322.T,4035.0
4719.T,4040.0
2820.T,4235.0
8361.T,4245.0
3097.T,4355.0
8377.T,4360.0
9699.T,4390.0
7350.T,4515.0
8336.T,4610.0
6365.T,5110.0
6039.T,5580.0
8367.T,5640.0
8393.T,5760.0
8392.T,5880.0
9049.T,7210.0
8341.T,7305.0
1349.T,17675.0
1630.T,36900.0
1617.T,41470.0
8961.T,78200.0
