ticker,price
3185.T,214.00
2257.T,223.60
9434.T,225.00
5986.T,235.00
7183.T,256.00
2385.T,261.00
6400.T,287.00
2014.T,297.80
5269.T,329.00
7201.T,375.00
3422.T,460.00
2215.T,600.00
5973.T,617.00
4005.T,623.60
2736.T,658.00
8285.T,695.00
4486.T,698.00
3058.T,701.00
2984.T,727.00
6545.T,733.00
4996.T,770.00
9008.T,775.50
2408.T,780.00
3035.T,783.00
2179.T,790.00
7246.T,792.00
7823.T,812.00
9330.T,844.00
4386.T,866.00
3965.T,870.00
2241.T,879.50
4389.T,890.00
8609.T,930.00
4410.T,947.00
8714.T,955.00
9850.T,987.00
8563.T,990.00
9213.T,996.00
3920.T,1001.00
5845.T,1026.00
3140.T,1050.00
8613.T,1063.00
2597.T,1065.00
7261.T,1092.50
6072.T,1098.00
4116.T,1104.00
2868.T,1108.00
3167.T,1130.00
3402.T,1150.00
9716.T,1168.00
5458.T,1172.00
8558.T,1201.00
9310.T,1212.00
7513.T,1213.00
4977.T,1234.00
2750.T,1270.00
8604.T,1273.00
9533.T,1285.50
3981.T,1286.00
3551.T,1298.00
7264.T,1301.00
2253.T,1317.00
7091.T,1319.00
7482.T,1335.00
4351.T,1340.00
7167.T,1377.50
4415.T,1379.00
5020.T,1386.00
7030.T,1406.00
2801.T,1408.00
8593.T,1426.00
5019.T,1428.00
3151.T,1441.00
9365.T,1509.00
2983.T,1540.00
9507.T,1541.50
7614.T,1550.00
9006.T,1578.00
8086.T,1621.50
7523.T,1643.00
7181.T,1648.00
4539.T,1687.00
2475.T,1704.00
9007.T,1704.00
7856.T,1717.00
3407.T,1728.00
5036.T,1734.00
4045.T,1748.50
2602.T,1805.00
9048.T,1817.50
4536.T,1861.00
8381.T,1969.00
5199.T,1980.00
2081.T,1990.00
4224.T,2000.00
8876.T,2034.50
9278.T,2050.00
8278.T,2095.00
2483.T,2105.00
8088.T,2113.00
6358.T,2116.00
7510.T,2208.00
7326.T,2238.00
6894.T,2250.00
2288.T,2293.00
8358.T,2336.00
8544.T,2368.00
5484.T,2414.00
7259.T,2480.50
7990.T,2481.00
4919.T,2541.00
4112.T,2554.00
4671.T,2587.00
7305.T,2589.00
3467.T,2625.00
5975.T,2639.00
8081.T,2646.00
8344.T,2655.00
8387.T,2694.00
7184.T,2695.00
2117.T,2703.00
5589.T,2708.00
9982.T,2809.00
7459.T,2809.50
4979.T,2847.00
3087.T,2868.00
1399.T,2946.00
2086.T,3004.00
5832.T,3033.00
9312.T,3050.00
1651.T,3091.00
2814.T,3115.00
7952.T,3120.00
8341.T,3141.00
5830.T,3162.00
3221.T,3335.00
2810.T,3368.00
8022.T,3400.00
6908.T,3415.00
1483.T,3420.00
9948.T,3460.00
9731.T,3470.00
2562.T,3500.00
2607.T,3525.00
2782.T,3600.00
9041.T,3622.00
8871.T,3650.00
6331.T,3660.00
4540.T,3778.00
1659.T,3790.00
4125.T,3835.00
1605.T,3921.00
9303.T,3965.00
5233.T,3967.00
9302.T,3980.00
8098.T,4020.00
4368.T,4045.00
1698.T,4060.00
1926.T,4095.00
3020.T,4105.00
1975.T,4145.00
4521.T,4150.00
8014.T,4290.00
7014.T,4375.00
8725.T,4391.00
8370.T,4405.00
7944.T,4630.00
1788.T,4750.00
8850.T,4855.00
2805.T,4960.00
1478.T,5125.00
4118.T,5355.00
8002.T,5856.00
9104.T,5863.00
7350.T,5910.00
8360.T,5990.00
8630.T,6100.00
8522.T,6150.00
9735.T,6163.00
7565.T,6330.00
8377.T,6454.00
5644.T,6480.00
8283.T,6631.00
9531.T,6722.00
6392.T,6900.00
7292.T,7060.00
2705.T,7290.00
8015.T,7387.00
8361.T,7410.00
8766.T,7568.00
2702.T,8130.00
3597.T,10280.00
1622.T,34500.00
1632.T,39810.00
1577.T,54900.00
1546.T,77330.00
