ticker,price
9854.T,223.00
6776.T,272.00
4599.T,300.00
9268.T,392.00
3422.T,485.00
9363.T,531.00
1994.T,559.00
8291.T,578.00
8285.T,657.00
3439.T,674.00
1319.T,750.00
5162.T,784.00
7362.T,873.00
6157.T,914.00
6189.T,957.00
3920.T,995.00
4769.T,1118.00
9220.T,1223.00
4419.T,1264.00
6568.T,1288.00
4800.T,1329.00
6083.T,1332.00
8141.T,1581.00
6894.T,2139.00
3944.T,2344.00
9702.T,2347.00
8029.T,2710.00
7229.T,3005.00
2523.T,3300.00
1697.T,4326.00
3560.T,4350.00
1573.T,8725.00
4365.T,20500.00
