ticker,price
1384.T,3065.0
1485.T,49540.0
1566.T,54750.0
1585.T,2470.5
1768.T,1394.0
1808.T,3139.0
1810.T,1537.0
1950.T,3420.0
1975.T,3620.0
2001.T,2428.0
2002.T,1932.5
2003.T,7140.0
2055.T,346.0
2060.T,1081.0
2088.T,2507.5
2112.T,531.0
2264.T,3805.0
2281.T,2745.0
2288.T,2205.0
2293.T,2843.0
2311.T,813.0
2335.T,1118.0
2337.T,447.0
2359.T,2093.0
2389.T,2018.0
2477.T,3145.0
2514.T,1880.0
2518.T,2015.0
2531.T,1666.5
2565.T,1005.0
2594.T,2009.0
2602.T,5350.0
2664.T,3040.0
2692.T,11470.0
2695.T,3345.0
2810.T,2902.0
2816.T,1408.0
2846.T,2414.0
2858.T,1370.0
2871.T,1867.5
2903.T,1701.0
2915.T,1931.0
2971.T,130200.0
2979.T,128000.0
3083.T,762.0
3087.T,2613.0
3107.T,3119.0
3186.T,3195.0
3246.T,762.0
3288.T,9371.0
3290.T,91400.0
3352.T,1611.0
3370.T,340.0
3391.T,2956.0
3401.T,1360.5
3495.T,2464.0
3543.T,3040.0
3787.T,595.0
3836.T,1801.0
3880.T,974.0
3904.T,519.0
3913.T,1322.0
3950.T,1303.0
3954.T,3335.0
4031.T,944.0
4041.T,3645.0
4058.T,2799.0
4345.T,1055.0
4384.T,1807.0
4396.T,1501.0
4432.T,3770.0
4462.T,2254.0
4536.T,1646.5
4624.T,3670.0
4628.T,11300.0
4658.T,1326.0
4662.T,1824.0
4678.T,304.0
4694.T,3875.0
4733.T,8500.0
4840.T,497.0
4917.T,2786.0
4956.T,1342.0
4967.T,5465.0
4975.T,5060.0
5036.T,1678.0
5185.T,1982.0
5232.T,3872.0
5250.T,1180.0
5255.T,178.0
5261.T,7460.0
5288.T,1456.0
5464.T,1032.0
5571.T,1231.0
5843.T,2662.0
5909.T,979.0
5936.T,954.0
5952.T,186.0
6038.T,934.0
6071.T,805.0
6093.T,185.0
6286.T,1390.0
6332.T,2888.0
6380.T,3200.0
6413.T,1271.0
6419.T,3225.0
6445.T,1199.0
6489.T,2080.0
6558.T,800.0
6560.T,2220.0
6592.T,1452.5
6678.T,2339.0
6744.T,3920.0
6947.T,5050.0
6951.T,5150.0
7058.T,3000.0
7187.T,1487.0
7231.T,3205.0
7242.T,4510.0
7254.T,814.0
7284.T,1230.0
7297.T,901.0
7363.T,1645.0
7538.T,375.0
7551.T,677.0
7575.T,1629.0
7628.T,1214.0
7699.T,818.0
7715.T,2486.0
7730.T,1482.0
7747.T,2963.5
7817.T,3515.0
7820.T,850.0
7914.T,1633.0
7922.T,440.0
7925.T,2271.0
7943.T,3320.0
8097.T,2132.0
8127.T,605.0
8157.T,3530.0
8181.T,1129.0
8219.T,2574.0
8283.T,4953.0
8285.T,580.0
8358.T,1769.0
8424.T,4446.0
8425.T,1449.0
8439.T,2094.0
8511.T,2083.0
8585.T,1085.0
8595.T,2440.0
8715.T,1036.0
8793.T,4145.0
8841.T,857.0
8848.T,676.0
8871.T,3375.0
8881.T,750.0
8940.T,965.0
8966.T,159300.0
8999.T,625.0
9001.T,2696.0
9008.T,4107.0
9044.T,3013.0
9045.T,3413.0
9075.T,4575.0
9081.T,3755.0
9202.T,3042.0
9249.T,1599.0
9273.T,868.0
9360.T,3115.0
9364.T,5206.0
9365.T,1558.0
9401.T,5933.0
9404.T,3876.0
9421.T,596.0
9476.T,811.0
9605.T,5480.0
9622.T,1576.0
9740.T,3090.0
9799.T,1353.0
9890.T,1221.0
9903.T,885.0
9928.T,2024.0
9980.T,94.0
