ticker,price
4564.T,27.00
4597.T,38.00
3777.T,58.00
6740.T,110.00
6803.T,112.00
6775.T,129.00
2120.T,198.00
7640.T,207.00
7919.T,207.00
7707.T,220.00
9434.T,224.30
4651.T,236.00
7162.T,239.00
5010.T,247.00
9854.T,257.00
2345.T,259.00
7256.T,274.00
4392.T,328.00
3656.T,350.00
3908.T,350.00
2323.T,357.00
4512.T,357.00
3671.T,361.00
3607.T,372.00
3665.T,391.00
9535.T,400.00
7247.T,403.00
2654.T,404.00
6325.T,413.00
2334.T,432.00
7217.T,434.00
2373.T,456.00
7625.T,470.00
7213.T,471.00
8572.T,484.00
8226.T,490.00
8095.T,492.00
2411.T,494.00
9835.T,518.00
4826.T,520.00
4350.T,549.00
1418.T,561.00
3461.T,561.00
2999.T,575.00
7443.T,630.00
5074.T,659.00
3326.T,697.00
7376.T,700.00
5932.T,701.00
3439.T,710.00
7719.T,720.00
3143.T,731.00
9450.T,732.00
4896.T,758.00
1692.T,760.70
6166.T,784.00
4712.T,819.00
3063.T,830.00
6092.T,836.00
2158.T,857.00
6255.T,860.00
9262.T,865.00
3396.T,874.00
4664.T,895.00
3392.T,900.00
2354.T,905.00
9534.T,915.00
6217.T,925.00
9366.T,940.00
3556.T,959.00
8628.T,985.00
4360.T,987.00
3512.T,990.00
8585.T,1002.00
3447.T,1017.00
5578.T,1036.00
6189.T,1051.00
9976.T,1055.00
9227.T,1061.00
6533.T,1080.00
2868.T,1100.00
8416.T,1139.00
4371.T,1145.00
3773.T,1172.00
9890.T,1206.00
4977.T,1212.00
9220.T,1224.00
5218.T,1244.00
7343.T,1251.00
7794.T,1284.00
3386.T,1296.00
5965.T,1300.00
4075.T,1319.00
5869.T,1325.00
4761.T,1327.00
4828.T,1330.00
6140.T,1332.00
9753.T,1346.00
8005.T,1352.00
8142.T,1372.00
7752.T,1415.00
5603.T,1447.00
7595.T,1476.00
8115.T,1484.00
6838.T,1487.00
5602.T,1566.00
3853.T,1586.00
9308.T,1593.00
4662.T,1601.00
9709.T,1624.00
7464.T,1655.00
4627.T,1709.00
5699.T,1714.00
4743.T,1719.00
8383.T,1720.00
6454.T,1723.00
7458.T,1741.50
6384.T,1743.00
2867.T,1750.00
7480.T,1782.00
8151.T,1810.00
3542.T,1812.00
5632.T,1822.00
9726.T,1861.00
6402.T,1899.00
8008.T,1918.00
7812.T,1923.00
7963.T,1925.00
9351.T,1955.00
2556.T,1973.50
2555.T,1989.00
2222.T,1991.50
7375.T,2045.00
2552.T,2072.00
7378.T,2084.00
9619.T,2156.00
9278.T,2170.00
2015.T,2199.00
9381.T,2258.00
4556.T,2273.00
3441.T,2289.00
1407.T,2320.00
4082.T,2333.00
9353.T,2356.00
2349.T,2360.00
7477.T,2424.00
8803.T,2489.00
4450.T,2511.00
1694.T,2527.00
8029.T,2590.00
9536.T,2595.00
5753.T,2644.00
9270.T,2664.00
3036.T,2682.00
6249.T,2771.00
2645.T,2772.00
6989.T,2819.00
3932.T,2922.00
6061.T,2926.00
2303.T,2960.00
1686.T,3039.00
3741.T,3055.00
7058.T,3080.00
3543.T,3165.00
8137.T,3210.00
4040.T,3240.00
6820.T,3250.00
2207.T,3260.00
6706.T,3275.00
2270.T,3310.00
9041.T,3383.00
5189.T,3385.00
4481.T,3420.00
4125.T,3440.00
1481.T,3443.00
9409.T,3450.00
8084.T,3500.00
3252.T,3525.00
8157.T,3560.00
4534.T,3620.00
6085.T,3620.00
8060.T,3640.00
3778.T,3750.00
6396.T,3800.00
2892.T,3880.00
2327.T,3909.00
9715.T,4030.00
6083.T,4140.00
9636.T,4190.00
1436.T,4250.00
3184.T,4345.00
5844.T,4393.00
9338.T,4530.00
3994.T,5000.00
6822.T,5480.00
4107.T,5750.00
9672.T,5860.00
2861.T,5934.00
6365.T,6000.00
7806.T,6600.00
7564.T,6990.00
3769.T,9081.00
1660.T,11300.00
