ticker,price
1301.T,4945.0
1305.T,3753.0
1306.T,3714.0
1308.T,3670.0
1311.T,1875.0
1320.T,54300.0
1321.T,54520.0
1322.T,11350.0
1329.T,5465.0
1330.T,54540.0
1333.T,1331.5
1346.T,54630.0
1348.T,3708.0
1358.T,88870.0
1365.T,71800.0
1367.T,59260.0
1369.T,53080.0
1377.T,4400.0
1384.T,3065.0
1397.T,53040.0
1399.T,2774.0
1417.T,3629.0
1419.T,3665.0
1430.T,996.0
1458.T,55540.0
1473.T,3631.0
1474.T,32520.0
1475.T,365.3999938964844
1477.T,3089.0
1478.T,4758.0
1481.T,3407.0
1483.T,3372.0
1485.T,49540.0
1489.T,2938.0
1494.T,40470.0
1515.T,2410.0
1546.T,74520.0
1550.T,7262.0
1554.T,6125.0
1566.T,54750.0
1568.T,768.9000244140625
1570.T,46850.0
1577.T,50660.0
1578.T,4217.0
1579.T,503.6000061035156
1585.T,2470.5
1591.T,31870.0
1592.T,2954.0
1599.T,32670.0
1615.T,557.2999877929688
1619.T,44650.0
1620.T,32230.0
1622.T,36860.0
1625.T,51350.0
1626.T,43320.0
1630.T,37510.0
1631.T,29925.0
1632.T,35550.0
1633.T,54530.0
1651.T,2749.0
1653.T,4674.0
1657.T,6537.0
1678.T,358.70001220703125
1680.T,7515.0
1692.T,679.9000244140625
1693.T,8600.0
1698.T,3883.0
1719.T,1952.0
1720.T,1340.0
1721.T,4710.0
1724.T,712.0
1762.T,4085.0
1768.T,1394.0
1786.T,418.0
1787.T,5610.0
1802.T,3360.0
1803.T,2776.0
1808.T,3139.0
1810.T,1537.0
1813.T,2732.0
1835.T,4665.0
1847.T,5010.0
1852.T,1064.0
1860.T,1315.0
1861.T,1626.0
1870.T,2380.0
1871.T,2921.0
1897.T,3140.0
1904.T,4610.0
1926.T,3445.0
1930.T,1537.0
1934.T,2879.0
1941.T,4570.0
1942.T,5508.0
1944.T,7210.0
1945.T,1960.0
1950.T,3420.0
1951.T,2662.5
1952.T,3250.0
1959.T,8034.0
1961.T,6100.0
1963.T,2045.5
1965.T,7090.0
1969.T,4739.0
1975.T,3620.0
1976.T,1759.0
1979.T,3420.0
1982.T,5040.0
1997.T,4030.0
2001.T,2428.0
2002.T,1932.5
2003.T,7140.0
2017.T,1335.0
2053.T,1759.0
2055.T,346.0
2060.T,1081.0
2070.T,14585.0
2072.T,17000.0
2081.T,1755.0
2082.T,1187.0
2083.T,2934.0
2084.T,3137.0
2085.T,711.5
2088.T,2507.5
2089.T,2795.0
2112.T,531.0
2117.T,2850.0
2127.T,735.0
2136.T,1601.0
2153.T,1804.0
2158.T,896.0
2173.T,888.0
2181.T,293.20001220703125
2208.T,2634.0
2235.T,3362.0
2241.T,849.2000122070312
2242.T,639.9000244140625
2243.T,2793.0
2253.T,1175.0
2254.T,1260.0
2264.T,3805.0
2281.T,2745.0
2288.T,2205.0
2293.T,2843.0
2296.T,5700.0
2303.T,2500.0
2307.T,1084.0
2311.T,813.0
2335.T,1118.0
2337.T,447.0
2344.T,947.0
2359.T,2093.0
2384.T,3990.0
2389.T,2018.0
2391.T,1277.0
2411.T,475.0
2424.T,664.0
2436.T,996.0
2449.T,1147.0
2477.T,3145.0
2503.T,2378.5
2514.T,1880.0
2518.T,2015.0
2520.T,2010.0
2522.T,6884.0
2524.T,3627.0
2526.T,32640.0
2530.T,17670.0
2531.T,1666.5
2553.T,2351.0
2557.T,3569.0
2559.T,26500.0
2564.T,3465.0
2565.T,1005.0
2567.T,480.20001220703125
2587.T,4794.0
2594.T,2009.0
2602.T,5350.0
2613.T,2037.0
2624.T,5274.0
2625.T,3555.0
2636.T,4216.0
2637.T,1999.0
2640.T,4402.0
2641.T,4075.0
2642.T,47160.0
2644.T,2766.0
2645.T,2747.0
2656.T,132.0
2664.T,3040.0
2673.T,189.0
2689.T,2085.0
2692.T,11470.0
2695.T,3345.0
2784.T,2482.5
2804.T,1894.0
2810.T,2902.0
2816.T,1408.0
2837.T,2918.0
2846.T,2414.0
2848.T,2691.0
2851.T,348.70001220703125
2852.T,199.10000610351562
2854.T,2082.0
2858.T,1370.0
2866.T,1013.0
2868.T,1112.0
2871.T,1867.5
2894.T,330.0
2903.T,1701.0
2915.T,1931.0
2927.T,890.0
2938.T,1053.0
2971.T,130200.0
2975.T,1398.0
2979.T,128000.0
2983.T,2880.0
3003.T,1774.0
3042.T,348.0
3045.T,1526.0
3083.T,762.0
3087.T,2613.0
3099.T,2375.0
3105.T,1340.5
3107.T,3119.0
3109.T,1058.0
3110.T,10550.0
3137.T,231.0
3151.T,1426.0
3159.T,339.0
3168.T,699.0
3176.T,1530.0
3186.T,3195.0
3193.T,3495.0
3195.T,614.0
3201.T,1817.0
3221.T,3045.0
3231.T,995.4000244140625
3236.T,318.0
3242.T,579.0
3246.T,762.0
3269.T,174400.0
3281.T,150200.0
3282.T,337500.0
3283.T,94200.0
3288.T,9371.0
3289.T,1468.0
3290.T,91400.0
3291.T,2580.0
3300.T,2346.0
3352.T,1611.0
3370.T,340.0
3371.T,2197.0
3391.T,2956.0
3401.T,1360.5
3402.T,1079.5
3407.T,1468.5
3422.T,468.0
3436.T,1536.5
3441.T,1135.0
3443.T,4510.0
3445.T,3850.0
3455.T,119100.0
3468.T,63200.0
3476.T,51000.0
3477.T,841.0
3479.T,1918.0
3481.T,134800.0
3487.T,170100.0
3492.T,94100.0
3495.T,2464.0
3543.T,3040.0
3553.T,1082.0
3561.T,1423.0
3580.T,863.0
3682.T,711.0
3708.T,1615.0
3747.T,720.0
3787.T,595.0
3834.T,710.0
3836.T,1801.0
3844.T,1730.0
3845.T,250.0
3858.T,386.0
3861.T,894.2999877929688
3878.T,790.0
3880.T,974.0
3904.T,519.0
3913.T,1322.0
3940.T,133.0
3950.T,1303.0
3954.T,3335.0
4004.T,6908.0
4022.T,6450.0
4031.T,944.0
4041.T,3645.0
4042.T,2415.0
4043.T,4235.0
4046.T,2231.0
4055.T,1480.0
4058.T,2799.0
4060.T,1010.0
