ticker,cross_month,ma9,ma24,latest_close
3664.T,2026-01,46.0,45.0,22.0
6573.T,2026-01,99.0,97.25,22.0
4594.T,2025-12,59.67,58.17,45.0
4586.T,2026-02,109.78,105.58,52.0
6740.T,2026-02,20.89,20.04,55.0
4596.T,2026-02,78.0,67.29,57.0
5255.T,2026-01,183.89,182.17,80.0
3358.T,2026-03,97.56,96.57,90.0
3315.T,2026-02,105.78,104.66,93.0
9980.T,2026-02,97.41,96.5,94.0
4829.T,2026-03,115.65,115.35,100.0
7992.T,2026-02,116.33,116.21,101.0
7238.T,2026-05,121.33,120.67,112.0
6046.T,2026-02,143.78,141.88,120.0
5131.T,2026-01,178.67,177.33,134.0
7624.T,2025-12,129.74,129.21,136.0
9432.T,2025-12,151.15,150.0,144.4
7602.T,2026-01,160.79,158.79,145.0
7810.T,2026-06,169.33,168.83,156.0
6444.T,2026-04,151.11,147.67,157.0
6081.T,2026-01,225.33,217.75,158.0
4426.T,2026-02,162.11,161.55,163.0
2146.T,2025-12,166.1,162.98,175.0
4558.T,2026-01,201.07,200.75,199.0
2435.T,2026-02,209.63,208.6,206.0
2342.T,2025-12,230.33,227.01,208.0
6195.T,2026-01,211.11,210.29,212.0
2255.T,2026-02,199.8,198.33,214.1
7494.T,2026-03,242.01,241.88,219.0
7359.T,2026-02,376.0,372.83,223.0
3656.T,2026-01,210.78,208.38,226.0
4720.T,2026-05,257.4,254.65,228.0
8705.T,2026-02,184.9,181.05,228.0
9969.T,2026-02,248.79,247.99,228.0
7908.T,2026-02,250.98,246.49,230.0
8746.T,2026-01,423.44,408.71,230.0
5986.T,2026-01,189.7,189.21,232.0
8944.T,2026-01,220.85,214.39,239.0
6664.T,2026-01,289.89,284.17,244.0
7779.T,2026-01,194.0,193.54,246.0
2471.T,2025-12,303.68,302.99,252.0
7183.T,2026-05,177.78,172.32,256.0
6400.T,2025-12,267.15,264.77,260.0
4650.T,2026-01,288.22,286.67,262.0
3423.T,2026-03,266.02,261.76,266.0
3796.T,2026-03,255.56,252.46,269.0
5928.T,2026-01,267.86,267.27,271.0
8410.T,2026-01,276.89,273.53,276.7
3776.T,2026-04,190.85,182.06,278.0
1447.T,2026-03,302.36,300.01,284.0
8207.T,2026-03,285.67,284.21,285.0
4918.T,2026-01,321.36,314.3,288.0
3787.T,2026-02,585.44,583.58,296.0
2686.T,2026-01,285.78,285.17,297.0
3192.T,2026-02,281.11,279.21,301.0
7354.T,2025-12,269.78,268.4,308.0
8230.T,2026-01,305.53,302.65,309.0
6428.T,2026-04,321.56,319.39,311.0
7277.T,2025-12,313.65,306.28,312.0
4572.T,2026-06,330.89,320.46,329.0
9514.T,2026-02,374.35,373.94,330.0
2195.T,2026-06,382.01,376.76,331.0
6625.T,2026-01,350.23,346.61,331.0
6059.T,2025-12,325.52,321.26,338.0
7367.T,2026-02,338.83,338.69,342.0
6663.T,2026-02,283.49,279.44,344.0
