ticker,pattern,months_ago,latest_price,prev_open,prev_close,curr_open,curr_close,max_rise_pct
1375.T,bullish_engulfing,1,1115.0,1054.0,1050.0,1050.0,1115.0,0.0
1379.T,bullish_engulfing,1,1837.0,1828.0,1820.0,1820.0,1837.0,0.0
1420.T,bullish_engulfing,1,623.0,621.0,618.0,618.0,623.0,0.0
1482.T,bullish_engulfing,1,1584.0,1582.0,1576.0,1574.0,1584.0,0.0
1487.T,bullish_engulfing,1,12260.0,12250.0,12205.0,12205.0,12260.0,0.0
1678.T,bullish_engulfing,1,322.20001220703125,313.29998779296875,312.29998779296875,310.8999938964844,322.20001220703125,0.0
1776.T,bullish_engulfing,1,1996.0,1996.0,1987.0,1987.0,1996.0,0.0
1822.T,bullish_engulfing,1,752.0,745.0,742.0,742.0,752.0,0.0
1939.T,bullish_engulfing,1,2063.0,2050.0,1955.0,1922.0,2063.0,0.0
1952.T,bullish_engulfing,1,3710.0,3570.0,3420.0,3420.0,3710.0,0.0
1961.T,bullish_engulfing,1,3120.0,2393.0,2316.0,2292.0,3120.0,0.0
1976.T,bullish_engulfing,1,1835.0,1821.0,1738.0,1728.0,1835.0,0.0
1980.T,bullish_engulfing,1,2937.0,2833.0,2650.0,2605.0,2937.0,0.0
1997.T,bullish_engulfing,1,3960.0,3755.0,3530.0,3480.0,3960.0,0.0
2002.T,bullish_engulfing,1,1994.5,1982.0,1965.0,1965.0,1994.5,0.0
2046.T,bullish_engulfing,1,25470.0,25415.0,24965.0,24305.0,25470.0,0.0
2095.T,bullish_engulfing,1,1155.0,1119.9400413719384,1106.9754638671875,1100.0,1155.0,0.0
2136.T,bullish_engulfing,1,1450.0,1419.0,1403.0,1400.0,1450.0,0.0
2224.T,bullish_engulfing,1,3640.0,3580.0,3495.0,3485.0,3640.0,0.0
2256.T,bullish_engulfing,1,229.39999389648438,228.39999389648438,224.89999389648438,224.89999389648438,229.39999389648438,0.0
