ticker,exists,rows,elapsed_s,note
1000.T,no,0,2.69,empty-history
1001.T,no,0,3.01,empty-history
1002.T,no,0,1.14,empty-history
1003.T,no,0,1.30,empty-history
1004.T,no,0,1.00,empty-history
1005.T,no,0,1.11,empty-history
1006.T,no,0,1.56,empty-history
1007.T,no,0,1.00,empty-history
1008.T,no,0,1.15,empty-history
1009.T,no,0,0.98,empty-history
1010.T,no,0,0.99,empty-history
1011.T,no,0,1.30,empty-history
1012.T,no,0,0.99,empty-history
1013.T,no,0,0.99,empty-history
1014.T,no,0,0.99,empty-history
1015.T,no,0,0.98,empty-history
1016.T,no,0,1.35,empty-history
1017.T,no,0,1.00,empty-history
1018.T,no,0,1.07,empty-history
1019.T,no,0,0.99,empty-history
1020.T,no,0,1.39,empty-history
1021.T,no,0,1.03,empty-history
1022.T,no,0,1.18,empty-history
1023.T,no,0,0.99,empty-history
1024.T,no,0,1.12,empty-history
1025.T,no,0,1.01,empty-history
1026.T,no,0,1.13,empty-history
1027.T,no,0,1.73,empty-history
1028.T,no,0,1.00,empty-history
1029.T,no,0,1.24,empty-history
1030.T,no,0,0.97,empty-history
1031.T,no,0,0.98,empty-history
1032.T,no,0,0.98,empty-history
1033.T,no,0,0.97,empty-history
1034.T,no,0,1.37,empty-history
1035.T,no,0,1.04,empty-history
1036.T,no,0,1.00,empty-history
1037.T,no,0,1.24,empty-history
1038.T,no,0,0.99,empty-history
1039.T,no,0,1.25,empty-history
1040.T,no,0,0.99,empty-history
1041.T,no,0,0.97,empty-history
1042.T,no,0,1.20,empty-history
1043.T,no,0,0.98,empty-history
1044.T,no,0,1.01,empty-history
1045.T,no,0,0.99,empty-history
1046.T,no,0,0.99,empty-history
1047.T,no,0,1.03,empty-history
1048.T,no,0,1.31,empty-history
1049.T,no,0,1.12,empty-history
1050.T,no,0,1.11,empty-history
1051.T,no,0,0.99,empty-history
1052.T,no,0,0.99,empty-history
1053.T,no,0,0.99,empty-history
1054.T,no,0,1.03,empty-history
1055.T,no,0,0.99,empty-history
1056.T,no,0,1.30,empty-history
1057.T,no,0,1.23,empty-history
1058.T,no,0,1.37,empty-history
1059.T,no,0,1.04,empty-history
1060.T,no,0,1.04,empty-history
1061.T,no,0,0.99,empty-history
1062.T,no,0,1.05,empty-history
1063.T,no,0,0.99,empty-history
1064.T,no,0,1.04,empty-history
1065.T,no,0,0.98,empty-history
1066.T,no,0,1.01,empty-history
1067.T,no,0,0.98,empty-history
1068.T,no,0,1.01,empty-history
1069.T,no,0,1.11,empty-history
1070.T,no,0,1.47,empty-history
1071.T,no,0,1.00,empty-history
1072.T,no,0,0.98,empty-history
1073.T,no,0,1.00,empty-history
1074.T,no,0,1.13,empty-history
1075.T,no,0,1.04,empty-history
1076.T,no,0,0.99,empty-history
1077.T,no,0,1.00,empty-history
1078.T,no,0,0.98,empty-history
1079.T,no,0,0.99,empty-history
1080.T,no,0,1.00,empty-history
1081.T,no,0,1.50,empty-history
1082.T,no,0,0.97,empty-history
1083.T,no,0,1.76,empty-history
1084.T,no,0,1.20,empty-history
1085.T,no,0,1.03,empty-history
1086.T,no,0,0.99,empty-history
1087.T,no,0,1.00,empty-history
1088.T,no,0,1.33,empty-history
1089.T,no,0,1.00,empty-history
1090.T,no,0,1.01,empty-history
1091.T,no,0,0.98,empty-history
1092.T,no,0,0.98,empty-history
1093.T,no,0,1.27,empty-history
1094.T,no,0,0.99,empty-history
1095.T,no,0,0.99,empty-history
1096.T,no,0,1.00,empty-history
1097.T,no,0,1.00,empty-history
1098.T,no,0,0.99,empty-history
1099.T,no,0,1.10,empty-history
1100.T,no,0,0.99,empty-history
1101.T,no,0,0.97,empty-history
1102.T,no,0,0.99,empty-history
1103.T,no,0,1.12,empty-history
1104.T,no,0,1.32,empty-history
1105.T,no,0,1.19,empty-history
1106.T,no,0,0.98,empty-history
1107.T,no,0,0.99,empty-history
1108.T,no,0,1.07,empty-history
1109.T,no,0,1.00,empty-history
1110.T,no,0,1.22,empty-history
1111.T,no,0,0.98,empty-history
1112.T,no,0,1.12,empty-history
1113.T,no,0,0.99,empty-history
1114.T,no,0,1.12,empty-history
1115.T,no,0,0.98,empty-history
1116.T,no,0,1.00,empty-history
1117.T,no,0,1.00,empty-history
1118.T,no,0,0.99,empty-history
1119.T,no,0,1.01,empty-history
1120.T,no,0,1.67,empty-history
1121.T,no,0,0.99,empty-history
1122.T,no,0,1.33,empty-history
1123.T,no,0,1.47,empty-history
1124.T,no,0,0.98,empty-history
1125.T,no,0,1.22,empty-history
1126.T,no,0,0.99,empty-history
1127.T,no,0,1.13,empty-history
1128.T,no,0,0.98,empty-history
1129.T,no,0,1.12,empty-history
1130.T,no,0,1.44,empty-history
1131.T,no,0,0.98,empty-history
1132.T,no,0,1.51,empty-history
1133.T,no,0,1.52,empty-history
1134.T,no,0,1.59,empty-history
1135.T,no,0,1.27,empty-history
1136.T,no,0,1.05,empty-history
1137.T,no,0,0.98,empty-history
1138.T,no,0,1.10,empty-history
1139.T,no,0,0.99,empty-history
1140.T,no,0,1.05,empty-history
1141.T,no,0,1.00,empty-history
1142.T,no,0,1.25,empty-history
1143.T,no,0,1.00,empty-history
1144.T,no,0,1.19,empty-history
1145.T,no,0,1.00,empty-history
1146.T,no,0,1.13,empty-history
1147.T,no,0,1.29,empty-history
1148.T,no,0,0.99,empty-history
1149.T,no,0,1.34,empty-history
1150.T,no,0,1.01,empty-history
1151.T,no,0,0.99,empty-history
1152.T,no,0,0.98,empty-history
1153.T,no,0,1.01,empty-history
1154.T,no,0,0.99,empty-history
1155.T,no,0,1.00,empty-history
1156.T,no,0,1.31,empty-history
1157.T,no,0,1.00,empty-history
1158.T,no,0,1.00,empty-history
1159.T,no,0,0.99,empty-history
1160.T,no,0,1.02,empty-history
1161.T,no,0,0.98,empty-history
1162.T,no,0,1.37,empty-history
1163.T,no,0,1.00,empty-history
1164.T,no,0,0.98,empty-history
1165.T,no,0,0.98,empty-history
1166.T,no,0,0.99,empty-history
1167.T,no,0,1.43,empty-history
1168.T,no,0,1.00,empty-history
1169.T,no,0,0.99,empty-history
1170.T,no,0,1.02,empty-history
1171.T,no,0,1.05,empty-history
1172.T,no,0,0.99,empty-history
1173.T,no,0,0.98,empty-history
1174.T,no,0,1.19,empty-history
1175.T,no,0,1.33,empty-history
1176.T,no,0,1.19,empty-history
1177.T,no,0,0.99,empty-history
1178.T,no,0,1.32,empty-history
1179.T,no,0,1.16,empty-history
1180.T,no,0,1.03,empty-history
1181.T,no,0,0.98,empty-history
1182.T,no,0,1.15,empty-history
1183.T,no,0,0.98,empty-history
1184.T,no,0,1.01,empty-history
1185.T,no,0,1.28,empty-history
1186.T,no,0,1.18,empty-history
1187.T,no,0,1.30,empty-history
1188.T,no,0,0.98,empty-history
1189.T,no,0,1.14,empty-history
1190.T,no,0,1.00,empty-history
1191.T,no,0,1.12,empty-history
1192.T,no,0,1.00,empty-history
1193.T,no,0,1.05,empty-history
1194.T,no,0,1.12,empty-history
1195.T,no,0,1.19,empty-history
1196.T,no,0,1.00,empty-history
1197.T,no,0,1.19,empty-history
1198.T,no,0,0.99,empty-history
1199.T,no,0,1.00,empty-history
1200.T,no,0,1.01,empty-history
1201.T,no,0,1.00,empty-history
1202.T,no,0,0.99,empty-history
1203.T,no,0,1.04,empty-history
1204.T,no,0,1.14,empty-history
1205.T,no,0,0.99,empty-history
1206.T,no,0,1.01,empty-history
1207.T,no,0,1.02,empty-history
1208.T,no,0,1.13,empty-history
1209.T,no,0,1.42,empty-history
1210.T,no,0,1.00,empty-history
1211.T,no,0,1.01,empty-history
