ticker,status,update_date
1301.T,MAINTAINED,2025-12-07
1305.T,MAINTAINED,2025-12-07
1306.T,MAINTAINED,2025-12-07
1308.T,MAINTAINED,2025-12-07
1309.T,MAINTAINED,2025-12-07
1311.T,MAINTAINED,2025-12-07
1319.T,MAINTAINED,2025-12-07
1320.T,MAINTAINED,2025-12-07
1321.T,MAINTAINED,2025-12-07
1322.T,MAINTAINED,2025-12-07
1325.T,MAINTAINED,2025-12-07
1326.T,MAINTAINED,2025-12-07
1328.T,MAINTAINED,2025-12-07
1329.T,MAINTAINED,2025-12-07
1330.T,MAINTAINED,2025-12-07
1332.T,MAINTAINED,2025-12-07
1333.T,MAINTAINED,2025-12-07
1343.T,MAINTAINED,2025-12-07
1345.T,MAINTAINED,2025-12-07
1346.T,MAINTAINED,2025-12-07
1348.T,MAINTAINED,2025-12-07
1349.T,MAINTAINED,2025-12-07
1358.T,MAINTAINED,2025-12-07
1365.T,MAINTAINED,2025-12-07
1367.T,MAINTAINED,2025-12-07
1369.T,MAINTAINED,2025-12-07
1376.T,MAINTAINED,2025-12-07
1377.T,MAINTAINED,2025-12-07
1379.T,MAINTAINED,2025-12-07
1381.T,MAINTAINED,2025-12-07
1384.T,MAINTAINED,2025-12-07
1397.T,MAINTAINED,2025-12-07
1398.T,MAINTAINED,2025-12-07
1399.T,MAINTAINED,2025-12-07
1401.T,MAINTAINED,2025-12-07
1414.T,MAINTAINED,2025-12-07
1417.T,MAINTAINED,2025-12-07
1418.T,MAINTAINED,2025-12-07
1419.T,MAINTAINED,2025-12-07
1429.T,MAINTAINED,2025-12-07
1430.T,MAINTAINED,2025-12-07
1431.T,MAINTAINED,2025-12-07
1432.T,MAINTAINED,2025-12-07
1433.T,MAINTAINED,2025-12-07
1434.T,MAINTAINED,2025-12-07
1435.T,MAINTAINED,2025-12-07
1443.T,MAINTAINED,2025-12-07
1444.T,MAINTAINED,2025-12-07
1445.T,MAINTAINED,2025-12-07
1446.T,MAINTAINED,2025-12-07
1450.T,MAINTAINED,2025-12-07
1452.T,MAINTAINED,2025-12-07
1458.T,MAINTAINED,2025-12-07
1473.T,MAINTAINED,2025-12-07
1474.T,MAINTAINED,2025-12-07
1475.T,MAINTAINED,2025-12-07
1476.T,MAINTAINED,2025-12-07
1477.T,MAINTAINED,2025-12-07
1478.T,MAINTAINED,2025-12-07
1479.T,MAINTAINED,2025-12-07
1480.T,MAINTAINED,2025-12-07
1481.T,MAINTAINED,2025-12-07
1482.T,MAINTAINED,2025-12-07
1483.T,MAINTAINED,2025-12-07
1484.T,MAINTAINED,2025-12-07
1485.T,MAINTAINED,2025-12-07
1486.T,MAINTAINED,2025-12-07
1487.T,MAINTAINED,2025-12-07
1488.T,MAINTAINED,2025-12-07
1489.T,MAINTAINED,2025-12-07
1490.T,MAINTAINED,2025-12-07
1493.T,MAINTAINED,2025-12-07
1494.T,MAINTAINED,2025-12-07
1495.T,MAINTAINED,2025-12-07
1496.T,MAINTAINED,2025-12-07
1498.T,MAINTAINED,2025-12-07
1499.T,MAINTAINED,2025-12-07
1515.T,MAINTAINED,2025-12-07
1518.T,MAINTAINED,2025-12-07
1540.T,MAINTAINED,2025-12-07
1541.T,MAINTAINED,2025-12-07
1542.T,MAINTAINED,2025-12-07
1543.T,MAINTAINED,2025-12-07
1545.T,MAINTAINED,2025-12-07
1546.T,MAINTAINED,2025-12-07
1547.T,MAINTAINED,2025-12-07
1550.T,MAINTAINED,2025-12-07
1551.T,MAINTAINED,2025-12-07
1554.T,MAINTAINED,2025-12-07
1555.T,MAINTAINED,2025-12-07
1557.T,MAINTAINED,2025-12-07
1559.T,MAINTAINED,2025-12-07
1560.T,MAINTAINED,2025-12-07
1566.T,MAINTAINED,2025-12-07
1568.T,MAINTAINED,2025-12-07
1570.T,MAINTAINED,2025-12-07
1572.T,MAINTAINED,2025-12-07
1577.T,MAINTAINED,2025-12-07
1578.T,MAINTAINED,2025-12-07
1579.T,MAINTAINED,2025-12-07
1585.T,MAINTAINED,2025-12-07
1586.T,MAINTAINED,2025-12-07
1591.T,MAINTAINED,2025-12-07
1592.T,MAINTAINED,2025-12-07
1593.T,MAINTAINED,2025-12-07
1595.T,MAINTAINED,2025-12-07
1596.T,MAINTAINED,2025-12-07
1597.T,MAINTAINED,2025-12-07
1599.T,MAINTAINED,2025-12-07
1605.T,MAINTAINED,2025-12-07
1615.T,MAINTAINED,2025-12-07
1617.T,MAINTAINED,2025-12-07
1618.T,MAINTAINED,2025-12-07
1619.T,MAINTAINED,2025-12-07
1620.T,MAINTAINED,2025-12-07
1621.T,MAINTAINED,2025-12-07
1622.T,MAINTAINED,2025-12-07
1623.T,MAINTAINED,2025-12-07
1624.T,MAINTAINED,2025-12-07
1625.T,MAINTAINED,2025-12-07
1626.T,MAINTAINED,2025-12-07
1627.T,MAINTAINED,2025-12-07
1628.T,MAINTAINED,2025-12-07
1629.T,MAINTAINED,2025-12-07
1630.T,MAINTAINED,2025-12-07
1631.T,MAINTAINED,2025-12-07
1632.T,MAINTAINED,2025-12-07
1633.T,MAINTAINED,2025-12-07
1651.T,MAINTAINED,2025-12-07
1652.T,MAINTAINED,2025-12-07
1653.T,MAINTAINED,2025-12-07
1654.T,MAINTAINED,2025-12-07
1655.T,MAINTAINED,2025-12-07
1656.T,MAINTAINED,2025-12-07
1657.T,MAINTAINED,2025-12-07
1658.T,MAINTAINED,2025-12-07
1659.T,MAINTAINED,2025-12-07
1660.T,MAINTAINED,2025-12-07
1662.T,MAINTAINED,2025-12-07
1663.T,MAINTAINED,2025-12-07
1671.T,MAINTAINED,2025-12-07
1672.T,MAINTAINED,2025-12-07
1673.T,MAINTAINED,2025-12-07
1674.T,MAINTAINED,2025-12-07
1675.T,MAINTAINED,2025-12-07
1676.T,MAINTAINED,2025-12-07
1677.T,MAINTAINED,2025-12-07
1678.T,MAINTAINED,2025-12-07
1679.T,MAINTAINED,2025-12-07
1680.T,MAINTAINED,2025-12-07
1681.T,MAINTAINED,2025-12-07
1684.T,MAINTAINED,2025-12-07
1685.T,MAINTAINED,2025-12-07
1686.T,MAINTAINED,2025-12-07
1687.T,MAINTAINED,2025-12-07
1688.T,MAINTAINED,2025-12-07
1689.T,MAINTAINED,2025-12-07
1691.T,MAINTAINED,2025-12-07
1692.T,MAINTAINED,2025-12-07
1693.T,MAINTAINED,2025-12-07
1694.T,MAINTAINED,2025-12-07
1696.T,MAINTAINED,2025-12-07
1697.T,MAINTAINED,2025-12-07
1698.T,MAINTAINED,2025-12-07
1712.T,MAINTAINED,2025-12-07
1716.T,MAINTAINED,2025-12-07
1717.T,MAINTAINED,2025-12-07
1718.T,MAINTAINED,2025-12-07
1719.T,MAINTAINED,2025-12-07
1720.T,MAINTAINED,2025-12-07
1721.T,MAINTAINED,2025-12-07
1723.T,MAINTAINED,2025-12-07
1724.T,MAINTAINED,2025-12-07
1736.T,MAINTAINED,2025-12-07
1743.T,MAINTAINED,2025-12-07
1758.T,MAINTAINED,2025-12-07
1762.T,MAINTAINED,2025-12-07
1764.T,MAINTAINED,2025-12-07
1766.T,MAINTAINED,2025-12-07
1768.T,MAINTAINED,2025-12-07
1770.T,MAINTAINED,2025-12-07
1773.T,MAINTAINED,2025-12-07
1776.T,MAINTAINED,2025-12-07
1780.T,MAINTAINED,2025-12-07
1783.T,MAINTAINED,2025-12-07
1786.T,MAINTAINED,2025-12-07
1787.T,MAINTAINED,2025-12-07
1788.T,MAINTAINED,2025-12-07
1793.T,MAINTAINED,2025-12-07
1795.T,MAINTAINED,2025-12-07
1798.T,MAINTAINED,2025-12-07
1799.T,MAINTAINED,2025-12-07
1801.T,MAINTAINED,2025-12-07
1802.T,MAINTAINED,2025-12-07
1803.T,MAINTAINED,2025-12-07
1807.T,MAINTAINED,2025-12-07
1808.T,MAINTAINED,2025-12-07
1810.T,MAINTAINED,2025-12-07
1811.T,MAINTAINED,2025-12-07
1812.T,MAINTAINED,2025-12-07
1813.T,MAINTAINED,2025-12-07
1814.T,MAINTAINED,2025-12-07
1815.T,MAINTAINED,2025-12-07
1820.T,MAINTAINED,2025-12-07
1821.T,MAINTAINED,2025-12-07
1826.T,MAINTAINED,2025-12-07
1827.T,MAINTAINED,2025-12-07
1828.T,MAINTAINED,2025-12-07
1833.T,MAINTAINED,2025-12-07
1835.T,MAINTAINED,2025-12-07
1841.T,MAINTAINED,2025-12-07
1844.T,MAINTAINED,2025-12-07
1847.T,MAINTAINED,2025-12-07
1848.T,MAINTAINED,2025-12-07
